,timestamp,sex,age,first language,Ptáci [Kur domácí (slepice)],Ptáci [Vrána],Ptáci [Holubice],Ptáci [Kachna],Ptáci [Plameňák],Ptáci [Racek],Ptáci [Jestřáb],Ptáci [Kiwi],Ptáci [Skřivan],Ptáci [Pštros],Ptáci [Andulka],Ptáci [Tučňák],Ptáci [Bažant],Ptáci [Nandu],Ptáci [Zoboun],Ptáci [Chaluha],Ptáci [Vrabec],Ptáci [Labuť],Ptáci [Sup],Ptáci [Střízlík],Savci [Hrabáč],Savci [Antilopa],Savci [Medvěd],Savci [Kanec],Savci [Buvol],Savci [Tur domácí (kráva)],Savci [Morče],Savci [Gepard],Savci [Jelen],Savci [Delfín],Savci [Slon],Savci [Kaloň],Savci [Žirafa],Savci [Koza],Savci [Gorila],Savci [Křeček],Savci [Zajíc],Savci [Leopard],Savci [Lev],Savci [Rys],Savci [Norek],Savci [Krtek],Savci [Mangusta],Savci [Vačice],Savci [Přímorožec],Savci [Ptakopysk],Savci [Tchoř],Savci [Poník],Savci [Sviňucha],Savci [Puma],Savci [Kočka],Savci [Mýval],Savci [Sob],Savci [Tuleň],Savci [Lachtan],Savci [Veverka],Savci [Upír],Savci [Hraboš],Savci [Klokan],Savci [Vlk],Ryby [Okoun],Ryby [Kapr],Ryby [Sumec],Ryby [Tloušť],Ryby [Ostroun],Ryby [Treska],Ryby [Sleď],Ryby [Štika],Ryby [Piraňa],Ryby [Mořský koník],Ryby [Jazyk],Ryby [Rejnok],Ryby [Tuňák]
0,4.2.2021 10:58:59,man,20,CS,4,5,4,3,2,2,4,3,5,4,5,3,3,,1,3,5,3,3,,,5,4,5,,4,2,4,5,3,4,3,5,5,4,4,2,1,5,4,2,3,,3,,5,3,3,2,3,3,3,3,4,2,2,3,3,2,4,5,5,4,4,2,5,3,4,4,3,,3,4
1,4.2.2021 10:59:20,man,19,CS,3,4,5,5,4,5,2,3,2,3,5,5,5,2,3,1,4,5,5,1,1,4,5,3,2,4,2,3,3,5,4,2,4,3,4,2,3,3,4,3,3,2,1,2,1,1,3,2,2,2,5,3,3,3,2,2,1,2,5,5,3,5,3,1,2,3,3,4,5,1,1,2,3
2,4.2.2021 10:59:21,man,22,CS,3,5,5,4,2,5,5,4,5,3,5,2,3,,,,5,4,5,,,3,5,3,3,5,5,5,3,1,3,,3,5,5,5,4,5,5,4,5,4,,5,,2,5,2,,5,5,5,3,2,2,5,,5,5,5,,5,4,,,5,5,5,3,2,,3,3
3,4.2.2021 10:59:27,woman,25,CS,2,5,4,2,1,2,4,2,5,2,3,2,3,1,1,1,5,2,2,2,1,2,5,3,2,5,4,2,3,5,2,1,4,4,4,3,4,2,4,2,2,3,1,2,1,1,1,2,1,1,5,2,2,2,2,2,1,3,4,4,5,5,3,,,4,2,5,2,1,,1,3
4,4.2.2021 11:00:03,man,19,SK,5,5,5,5,4,4,5,3,5,3,5,3,4,3,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,3,5,1,5,5,5,4,4,5,5,5,4,4,3,5,5,1,5,5,2,5,5,5,5,3,3,4,1,4,3,5,5,5,5,5,5,5,5,5,5,2,2,5,5
5,4.2.2021 11:01:43,man,24,CS,4,5,5,3,3,4,5,2,4,3,5,2,4,3,,,5,3,5,,,5,5,5,5,5,5,5,5,2,5,3,5,5,5,5,5,5,5,5,4,4,1,4,5,1,4,5,2,5,5,4,5,3,3,5,3,5,1,5,5,5,5,,,5,5,5,5,2,,2,5
6,4.2.2021 11:01:53,man,19,CS,3,3,3,2,2,3,2,1,2,2,2,3,2,1,1,1,5,2,2,1,1,,3,3,1,3,2,2,3,4,1,1,2,3,4,2,2,2,2,2,1,3,1,2,1,3,2,1,1,2,3,2,1,4,4,4,3,2,2,2,2,5,3,1,2,2,2,4,3,1,1,3,3
7,4.2.2021 11:02:28,woman,21,CS,4,4,2,3,2,4,4,1,5,2,3,1,3,2,,2,5,4,2,,2,4,4,4,3,5,3,3,3,2,5,,5,4,4,4,4,3,5,4,2,2,,3,,1,2,4,,3,5,3,4,3,2,4,1,2,4,5,4,5,5,,,5,2,5,3,1,2,2,4
8,4.2.2021 11:02:51,woman,18,CS,5,4,5,5,3,4,2,3,5,4,3,2,5,2,,,4,4,4,3,,3,3,3,2,4,3,2,2,3,1,,2,5,2,4,5,2,1,2,3,4,,4,,2,3,1,,2,5,4,2,3,2,5,1,3,2,1,,5,2,,,3,3,4,1,1,,2,4
9,4.2.2021 11:02:58,man,21,CS,2,5,4,4,3,4,4,1,5,1,3,2,1,2,,,5,4,4,,3,4,5,4,4,5,2,4,5,1,5,1,4,5,5,3,4,4,4,4,3,2,1,1,,1,4,4,2,4,5,3,4,4,2,2,1,3,3,4,5,5,5,4,,5,3,4,4,1,,2,5
10,4.2.2021 11:03:24,man,23,CS,3,5,5,4,3,5,4,3,4,3,5,2,3,,,,5,4,4,,,3,5,5,5,5,2,4,4,4,5,,5,5,5,2,5,4,5,4,3,2,2,3,2,1,3,4,2,4,5,3,4,4,4,3,1,2,4,5,4,5,5,3,3,4,4,5,4,2,,3,4
11,4.2.2021 11:05:23,man,21,CS,4,5,5,5,4,,5,4,4,,5,,3,4,,1,5,4,4,3,3,4,5,4,4,5,4,5,4,5,5,2,4,4,5,4,4,4,5,4,3,4,2,4,4,3,3,4,3,4,3,4,4,3,3,2,2,4,4,5,5,5,4,3,4,5,4,5,4,2,1,4,5
12,4.2.2021 11:06:30,man,20,CS,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,5,5,5,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,,5,5,5,5,4,,1,5
13,4.2.2021 11:08:23,man,20,CS,4,4,5,5,3,4,4,3,4,3,4,2,3,2,2,1,4,3,2,3,3,4,5,3,3,5,5,4,4,2,4,2,4,4,3,4,4,4,4,4,3,4,2,3,3,3,3,4,3,3,5,4,4,4,2,5,2,4,4,3,4,5,4,,,3,3,4,5,3,,4,5
14,4.2.2021 11:11:13,man,20,CS,4,5,5,4,4,5,5,2,5,3,5,3,4,,,,5,4,5,5,5,5,5,5,5,5,5,5,5,3,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,5,5,5,5,4,,4,5
15,4.2.2021 11:11:17,man,21,CS,2,5,5,2,3,5,5,2,4,2,5,1,2,,,,5,3,4,,2,5,5,5,4,5,3,4,4,1,3,,2,5,5,3,5,4,4,3,,2,,3,,1,4,4,,4,5,3,3,2,2,4,1,2,5,5,5,5,4,,,5,,5,4,1,1,3,4
16,4.2.2021 11:14:38,man,27,CS,4,5,5,5,1,4,4,1,4,1,5,1,4,1,2,1,5,4,1,4,3,1,3,4,1,1,5,1,4,1,1,3,1,4,1,5,4,1,1,1,4,3,2,3,3,1,1,3,3,1,4,1,2,1,2,4,3,5,1,3,5,5,5,1,5,1,3,4,1,1,1,1,2
17,4.2.2021 11:17:26,man,19,CS,5,5,5,5,5,5,5,4,5,3,5,3,4,3,,3,5,5,5,3,,3,5,4,4,5,5,4,4,4,5,2,4,5,5,5,5,5,5,5,3,3,3,2,3,1,3,4,,4,5,5,4,3,3,3,1,4,2,5,5,5,5,,,5,4,5,5,2,,3,5
18,4.2.2021 11:21:21,woman,19,CS,2,5,5,2,3,5,3,4,5,3,5,2,3,,,1,5,3,4,2,4,2,5,5,3,5,4,4,5,3,3,3,4,3,5,4,5,4,4,2,1,2,3,3,,3,4,3,5,3,5,5,4,3,4,3,2,4,4,4,4,5,5,3,3,2,3,5,5,2,1,4,4
19,4.2.2021 11:22:01,woman,23,SK,4,5,5,5,5,,5,,,3,5,3,3,,,1,5,5,5,,,2,3,,,4,5,2,4,1,2,,1,5,5,2,2,3,2,2,,2,,,,1,1,1,,2,5,,1,4,1,1,3,2,1,4,4,5,5,,2,5,5,5,4,1,,,5
20,4.2.2021 11:23:47,woman,21,CS,3,5,4,3,3,4,5,2,5,3,4,4,4,3,,,5,3,5,,3,4,5,4,4,4,3,5,5,3,3,2,4,4,5,4,5,4,5,5,4,3,,3,,3,4,5,,5,5,2,4,3,3,4,1,3,3,5,5,5,5,,,5,5,5,5,3,,3,5
21,4.2.2021 11:26:14,man,24,CS,5,5,4,5,2,2,2,1,2,2,3,2,4,,,,5,4,2,1,1,3,5,4,3,5,5,2,5,4,4,,4,5,4,5,5,3,5,4,2,5,1,2,,2,3,4,1,3,5,5,3,3,3,4,,2,5,5,5,5,5,,,4,3,5,4,3,,2,3
22,4.2.2021 11:30:00,man,23,CS,3,4,4,4,2,4,3,1,1,2,2,2,3,1,1,1,2,3,3,1,3,2,2,2,2,3,2,2,2,3,2,1,2,2,2,2,3,2,2,2,2,2,1,2,2,1,1,2,1,2,3,2,2,2,2,3,5,2,2,2,2,4,3,1,1,3,2,3,2,1,1,1,4
23,4.2.2021 11:30:23,man,23,CS,5,5,5,5,4,5,5,5,5,5,5,5,5,3,4,1,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,4,5,5,5,5,3,3,5,5
24,4.2.2021 11:33:32,man,19,CS,5,5,5,5,3,5,5,2,3,2,5,3,3,,2,3,5,4,4,2,3,5,5,5,4,5,4,4,5,5,5,2,5,5,5,3,5,4,5,4,4,2,4,4,4,4,4,5,3,4,5,3,5,4,3,4,,3,5,1,5,5,5,3,4,5,4,5,5,1,,4,5
25,4.2.2021 11:37:03,woman,25,CS,4,4,4,4,3,4,3,2,4,2,3,2,3,1,1,2,5,3,3,,,3,5,3,4,5,3,3,4,3,5,,4,5,5,4,4,3,5,3,2,5,3,2,,1,2,5,2,3,5,4,4,3,3,5,,5,3,4,4,5,4,,,3,4,4,2,2,,3,4
26,4.2.2021 11:42:40,man,25,CS,3,3,3,3,2,4,3,1,3,1,3,2,3,1,2,1,3,3,2,1,3,2,3,3,3,3,3,2,3,3,1,1,1,3,2,3,3,1,2,3,2,2,1,1,,1,2,3,1,1,3,3,3,1,3,3,1,3,1,3,5,5,5,1,2,5,5,5,4,1,,3,5
27,4.2.2021 11:43:07,woman,21,SK,5,5,5,5,5,5,5,3,2,5,5,5,5,1,1,1,5,5,5,3,3,4,5,5,5,5,5,5,5,2,5,1,5,5,5,5,5,5,5,5,,2,1,3,,2,5,5,2,5,5,5,5,4,2,4,5,5,3,5,2,5,5,,3,5,5,5,5,4,,5,5
28,4.2.2021 11:45:20,man,21,SK,4,4,3,4,1,1,2,1,,1,4,1,2,,,,4,3,1,,,1,4,1,1,3,2,1,4,1,1,,1,4,1,2,4,1,1,2,,4,1,1,,1,1,1,4,1,4,3,1,1,1,4,1,1,1,4,,4,2,,,1,1,4,1,1,,,1
29,4.2.2021 11:57:41,man,21,CS,5,5,5,4,3,4,4,2,5,2,5,3,3,2,2,3,5,3,3,2,4,4,5,5,4,5,4,5,5,3,5,2,4,5,5,4,5,4,5,4,4,3,3,3,3,1,4,5,2,3,5,4,4,3,3,5,2,4,3,5,4,5,5,3,3,4,4,5,2,1,2,3,5
30,4.2.2021 12:19:19,man,20,CS,4,5,5,4,5,5,5,4,5,4,5,2,4,3,,1,5,4,5,5,3,4,3,4,4,5,3,3,3,4,4,3,4,5,5,3,3,4,3,3,3,3,,3,4,4,3,4,3,4,4,3,4,3,4,3,4,3,4,3,5,5,5,,3,5,5,5,4,1,,4,5
31,4.2.2021 12:30:33,woman,20,CS,4,5,5,5,3,5,5,3,5,3,4,3,4,,,,5,5,3,3,,4,5,4,4,5,5,5,5,2,4,,5,4,4,5,4,4,4,4,3,2,,2,,1,4,5,,4,5,4,4,2,2,2,,2,3,5,5,5,5,,,5,5,5,4,1,,2,5
32,4.2.2021 12:37:37,man,26,CS,5,5,5,5,2,3,5,2,3,3,5,5,5,,,1,5,5,2,,,,3,,,,,,1,5,,,,1,,3,1,1,1,1,,1,,,,1,,,,1,1,,1,,3,5,5,,5,,5,5,5,,,2,,5,5,3,,5,5
33,4.2.2021 12:42:18,man,21,SK,5,5,5,5,5,5,5,2,,4,5,2,4,2,,,5,5,5,,,5,5,4,5,5,4,3,5,4,5,,5,5,4,3,5,3,4,3,2,2,,3,,1,3,2,,3,5,2,2,2,2,4,1,3,3,5,,5,5,,4,5,5,5,5,3,,,5
34,4.2.2021 12:44:10,man,23,CS,5,5,5,5,2,4,3,1,5,3,4,2,3,,,,5,3,3,,,3,4,4,2,4,3,3,4,2,3,1,4,4,4,4,4,3,4,3,3,3,,2,,2,2,4,,3,5,3,4,3,2,4,1,4,,4,4,5,4,,,4,3,4,3,1,,1,5
35,4.2.2021 13:35:00,man,30,CS,2,5,5,2,4,4,4,4,5,1,5,1,3,,,,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,2,,5,,1,4,5,3,5,5,5,5,2,1,5,2,5,5,5,5,5,5,5,5,5,5,5,5,1,,3,1
36,4.2.2021 13:40:49,woman,24,CS,2,4,5,3,2,4,3,2,5,2,5,2,2,1,3,1,5,2,1,5,2,2,5,3,4,5,3,2,3,5,3,,1,5,4,2,4,3,4,3,2,2,,5,,2,2,3,,3,4,2,3,2,2,2,4,2,3,3,3,5,3,,,4,4,5,4,2,,3,5
37,4.2.2021 13:44:47,woman,20,CS,3,5,5,3,2,5,5,1,4,1,4,1,3,1,,4,4,3,4,,3,5,5,5,5,5,5,5,5,1,4,1,2,5,4,5,5,5,5,5,5,2,,2,,1,3,5,1,5,5,5,5,1,1,5,1,5,2,5,5,5,3,,,4,4,4,3,1,,1,5
38,4.2.2021 13:50:35,man,38,CS,5,5,5,,3,5,5,4,5,3,5,2,4,,,,5,5,5,3,,5,5,5,5,5,5,5,5,4,5,,5,5,5,4,5,5,5,3,1,4,2,3,,1,3,5,2,5,5,5,5,3,1,5,,4,5,5,5,5,5,1,1,5,5,5,5,1,1,5,3
39,4.2.2021 14:25:23,man,20,CS,5,5,4,5,2,4,1,1,1,3,3,4,3,,,,5,4,4,1,,3,5,3,2,5,3,3,4,4,4,,4,5,2,4,4,2,4,3,,4,,1,,2,1,3,,4,5,3,3,2,2,4,,1,3,4,1,5,4,1,1,4,2,5,5,2,1,3,4
40,4.2.2021 14:41:29,man,19,CS,5,3,3,5,2,4,3,3,4,2,5,4,5,,,,5,3,2,,4,4,4,4,3,5,4,3,3,3,4,2,5,4,4,5,4,4,4,3,2,4,3,4,1,1,3,2,2,2,5,3,3,4,3,4,1,4,4,3,3,5,5,1,2,3,4,4,3,2,1,3,4
41,4.2.2021 14:44:47,man,20,CS,4,5,5,4,3,5,5,3,5,3,5,2,4,3,3,1,5,4,4,4,3,3,5,5,4,5,3,5,5,5,5,2,5,3,5,3,5,5,5,4,1,2,1,1,1,1,3,3,1,5,5,3,3,3,3,3,1,3,3,5,5,5,5,1,1,5,5,5,5,2,1,5,5
42,4.2.2021 14:53:49,man,39,CS,4,5,5,5,4,5,4,4,5,4,5,4,4,3,,,5,4,5,5,,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,4,,4,,2,5,5,,5,5,4,5,2,1,5,2,5,5,5,5,5,4,,,4,5,5,4,2,,3,5
43,4.2.2021 14:54:05,man,21,CS,4,4,4,4,3,5,4,3,5,2,4,2,3,2,,4,5,4,3,,,4,3,4,4,5,4,4,4,3,3,3,3,4,3,4,3,3,4,4,,2,,1,3,1,3,4,2,3,4,4,3,3,2,3,,3,2,4,4,5,4,,,3,3,4,4,2,,2,3
44,4.2.2021 14:59:48,woman,19,CS,4,5,3,4,3,4,2,3,5,2,5,1,3,,,,5,3,5,,,3,4,1,1,5,5,2,3,1,5,1,4,5,4,5,5,2,5,2,4,3,,2,,2,3,4,,2,5,4,3,2,2,3,,3,4,5,4,5,4,,,4,3,5,5,1,,1,4
45,4.2.2021 15:16:12,woman,21,SK,5,5,5,5,4,5,4,3,5,4,5,3,4,,,,5,5,4,,3,4,5,5,4,5,5,5,4,1,4,1,4,5,5,5,5,5,5,5,3,5,3,4,4,1,4,5,,5,5,4,4,3,4,5,1,3,5,5,5,5,5,,5,5,5,5,5,1,,,5
46,4.2.2021 16:12:02,man,21,CS,5,4,5,5,3,4,3,2,3,3,4,4,5,,2,,5,4,3,,,3,5,4,2,5,3,3,5,5,5,,5,5,4,3,5,3,5,3,2,5,,3,,4,3,3,2,4,5,5,3,3,3,5,,,5,4,3,4,4,,,3,3,4,5,5,,5,3
47,4.2.2021 16:34:53,woman,36,CS,3,5,5,4,4,5,5,2,5,3,5,2,4,3,,,5,4,5,5,5,5,5,5,5,5,5,5,5,2,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,5,5,5,5,3,3,5,2,5,5,5,5,5,5,5,,5,5,5,5,2,2,2,4
48,4.2.2021 16:36:11,man,21,CS,3,5,5,4,4,5,4,2,4,2,5,3,3,,,,5,5,4,,,4,2,2,3,5,1,4,3,2,3,,3,3,5,1,2,4,3,2,,2,,1,,1,1,2,,4,4,2,3,1,1,2,,1,2,3,5,5,5,,,5,,5,5,1,,4,5
49,4.2.2021 17:08:01,man,21,CS,5,5,3,3,2,3,4,1,2,3,4,3,4,1,1,2,3,4,4,3,1,3,4,4,2,5,3,4,5,4,4,1,3,5,4,3,5,4,4,4,2,5,1,3,1,2,2,3,1,4,5,2,4,3,3,5,3,2,4,5,4,5,4,1,2,4,2,5,4,3,2,3,4
50,4.2.2021 17:13:00,man,22,CS,4,5,4,3,2,3,4,,3,3,4,2,3,,,,5,3,2,,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,,2,,2,,3,5,3,,5,5,5,5,2,2,3,,5,5,5,4,5,5,3,,4,4,5,5,1,,3,5
51,4.2.2021 17:28:25,man,20,CS,3,5,5,3,2,3,4,2,3,2,4,2,2,2,,,5,4,3,,,2,3,3,2,5,4,3,4,4,4,,2,5,3,3,4,3,3,3,2,3,,2,,1,2,4,,3,5,2,3,2,2,2,1,3,4,4,2,5,4,,2,3,3,3,4,2,,3,5
52,4.2.2021 17:39:02,man,22,CS,2,3,4,3,2,4,2,,3,2,4,1,2,1,1,,5,3,2,1,,2,3,3,2,5,3,3,4,5,2,,4,4,4,3,3,3,4,2,2,3,1,2,,1,2,3,,2,5,2,2,3,2,3,1,3,5,4,3,5,4,,,4,3,5,3,4,,2,2
53,4.2.2021 18:18:35,man,22,CS,4,5,5,5,3,4,4,3,4,3,4,2,3,1,1,1,5,4,3,3,2,5,5,5,5,5,4,5,5,1,5,2,5,5,5,4,5,5,5,3,3,3,1,5,1,1,3,5,1,5,5,4,5,2,1,4,2,4,4,5,5,5,5,1,1,5,4,5,5,2,1,2,1
54,4.2.2021 18:20:39,woman,23,CS,4,4,5,4,3,4,3,1,3,3,3,1,3,1,,,5,4,4,2,,3,5,3,3,5,4,3,4,1,3,1,3,5,4,4,4,4,5,3,2,3,2,2,2,2,2,3,,3,5,3,4,2,2,4,1,4,2,5,4,5,4,,,4,1,4,2,1,,2,3
55,4.2.2021 19:47:53,man,21,CS,5,5,5,4,3,4,4,2,5,2,5,3,3,2,2,3,5,3,3,2,4,4,5,5,4,5,4,5,5,3,5,2,4,5,5,4,5,4,5,4,4,3,3,3,3,1,4,5,2,3,5,4,4,3,3,5,2,4,3,5,4,5,5,3,3,4,4,5,2,1,2,3,5
